"PolicyName","VersionId","IsDefaultVersion","CreateDate","ServiceWildcard","ServicesAffected","PrivilegeEscalation","ResourceExposure","DataExfiltration","CredentialsExposure","InfrastructureModification","PrivilegeEscalation_CreateAccessKey","PrivilegeEscalation_CreateLoginProfile","PrivilegeEscalation_UpdateLoginProfile","PrivilegeEscalation_CreateNewPolicyVersion","PrivilegeEscalation_SetExistingDefaultPolicyVersion","PrivilegeEscalation_AttachUserPolicy","PrivilegeEscalation_AttachGroupPolicy","PrivilegeEscalation_AttachRolePolicy","PrivilegeEscalation_PutUserPolicy","PrivilegeEscalation_PutGroupPolicy","PrivilegeEscalation_PutRolePolicy","PrivilegeEscalation_AddUserToGroup","PrivilegeEscalation_UpdateRolePolicyToAssumeIt","PrivilegeEscalation_CreateEC2WithExistingIP","PrivilegeEscalation_PassExistingRoleToNewLambdaThenInvoke","PrivilegeEscalation_PassExistingRoleToNewLambdaThenTriggerWithNewDynamo","PrivilegeEscalation_PassExistingRoleToNewLambdaThenTriggerWithExistingDynamo","PrivilegeEscalation_PassExistingRoleToNewGlueDevEndpoint","PrivilegeEscalation_PassExistingRoleToCloudFormation","PrivilegeEscalation_PassExistingRoleToNewDataPipeline","PrivilegeEscalation_UpdateExistingGlueDevEndpoint","PrivilegeEscalation_EditExistingLambdaFunctionWithRole"
"AWSServiceRoleForAmazonEKSNodegroup","v1",False,"2019-11-07T01:34:26+00:00",0,3,"",4,0,0,16,"","","","","","","","","","","","","",2,"","","","","","","",""
"AWSServiceRoleForAmazonEKSNodegroup","v2",False,"2020-01-16T21:53:23+00:00",0,3,"",4,0,0,16,"","","","","","","","","","","","","",2,"","","","","","","",""
"AWSServiceRoleForAmazonEKSNodegroup","v5",True,"2020-08-31T19:07:38+00:00",0,3,"",3,0,0,16,"","","","","","","","","","","","","",2,"","","","","","","",""
"AWSServiceRoleForAmazonEKSNodegroup","v4",False,"2020-03-06T22:14:53+00:00",0,3,"",4,0,0,16,"","","","","","","","","","","","","",2,"","","","","","","",""
"AWSServiceRoleForAmazonEKSNodegroup","v3",False,"2020-02-21T20:40:41+00:00",0,3,"",4,0,0,16,"","","","","","","","","","","","","",2,"","","","","","","",""
"DynamoDBReplicationServiceRolePolicy","v6",True,"2020-09-09T18:43:04+00:00",0,2,"",1,0,0,6,"","","","","","","","","","","","","","","","","","","","","",""
"DynamoDBReplicationServiceRolePolicy","v1",False,"2017-11-09T23:55:34+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"DynamoDBReplicationServiceRolePolicy","v2",False,"2018-02-05T19:08:52+00:00",0,1,"",0,0,0,3,"","","","","","","","","","","","","","","","","","","","","",""
"DynamoDBReplicationServiceRolePolicy","v5",False,"2020-07-24T21:40:41+00:00",0,2,"",1,0,0,6,"","","","","","","","","","","","","","","","","","","","","",""
"DynamoDBReplicationServiceRolePolicy","v4",False,"2020-01-22T22:55:38+00:00",0,2,"",1,0,0,5,"","","","","","","","","","","","","","","","","","","","","",""
"DynamoDBReplicationServiceRolePolicy","v3",False,"2018-07-02T21:48:12+00:00",0,2,"",1,0,0,4,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEC2ContainerRegistryPowerUser","v1",False,"2015-12-21T17:05:33+00:00",0,1,"",0,0,1,4,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEC2ContainerRegistryPowerUser","v2",False,"2016-10-11T22:28:07+00:00",0,1,"",0,0,1,4,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEC2ContainerRegistryPowerUser","v3",True,"2019-12-10T20:48:08+00:00",0,1,"",0,0,1,4,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEKSFargatePodExecutionRolePolicy","v1",True,"2019-11-22T04:34:29+00:00",0,1,"",0,0,1,0,"","","","","","","","","","","","","","","","","","","","","",""
"EC2InstanceConnect","v1",True,"2019-06-27T18:53:34+00:00",0,1,"",0,0,0,1,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonEventBridgeReadOnlyAccess","v1",True,"2019-07-11T13:59:07+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonManagedBlockchainReadOnlyAccess","v1",True,"2019-04-30T18:17:31+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSConfigRemediationServiceRolePolicy","v1",True,"2019-06-18T21:21:35+00:00",0,2,"",1,0,0,2,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCloudHSMReadOnlyAccess","v1",True,"2015-02-06T18:39:52+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonMacieSetupRole","v1",False,"2017-08-14T14:53:34+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonMacieSetupRole","v2",True,"2019-09-27T18:41:21+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"CloudWatchSyntheticsReadOnlyAccess","v1",False,"2019-11-25T17:45:40+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"CloudWatchSyntheticsReadOnlyAccess","v2",True,"2020-03-06T19:26:01+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSCloud9SSMInstanceProfile","v1",True,"2020-05-14T11:40:49+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"IAMSelfManageServiceSpecificCredentials","v1",True,"2016-12-22T17:25:18+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"IAMUserChangePassword","v1",False,"2016-11-15T00:25:16+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"IAMUserChangePassword","v2",True,"2016-11-15T23:18:55+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"TranslateReadOnly","v1",False,"2017-11-29T18:22:00+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"TranslateReadOnly","v2",False,"2018-04-03T23:03:37+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"TranslateReadOnly","v5",True,"2020-01-08T21:13:43+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"TranslateReadOnly","v4",False,"2018-11-27T23:29:08+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"TranslateReadOnly","v3",False,"2018-10-22T16:00:56+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSWAFConsoleReadOnlyAccess","v1",False,"2020-04-06T18:43:24+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSWAFConsoleReadOnlyAccess","v2",False,"2020-06-22T22:38:54+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSWAFConsoleReadOnlyAccess","v3",True,"2020-10-01T20:13:54+00:00",0,0,"",0,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSIoTDeviceDefenderEnableIoTLoggingMitigationAction","v1",True,"2019-08-07T17:04:07+00:00",0,1,"",1,0,0,1,"","","","","","","","","","","","","","","","","","","","","",""
"AWSWAFFullAccess","v1",False,"2015-10-06T20:44:00+00:00",1,1,"",2,0,0,43,"","","","","","","","","","","","","","","","","","","","","",""
"AWSWAFFullAccess","v2",False,"2016-12-07T21:33:25+00:00",2,2,"",4,0,0,88,"","","","","","","","","","","","","","","","","","","","","",""
"AWSWAFFullAccess","v5",True,"2020-10-01T20:13:54+00:00",3,4,"",9,0,0,112,"","","","","","","","","","","","","","","","","","","","","",""
"AWSWAFFullAccess","v4",False,"2020-04-08T00:21:06+00:00",3,4,"",9,0,0,112,"","","","","","","","","","","","","","","","","","","","","",""
"AWSWAFFullAccess","v3",False,"2020-01-07T20:50:25+00:00",3,3,"",9,0,0,111,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonFSxServiceRolePolicy","v1",False,"2018-11-28T10:38:37+00:00",0,3,"",1,0,0,5,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonFSxServiceRolePolicy","v2",True,"2019-06-18T13:25:32+00:00",0,3,"",1,0,0,5,"","","","","","","","","","","","","","","","","","","","","",""
"AWSHealthFullAccess","v1",False,"2016-12-06T12:30:31+00:00",1,0,"",2,0,0,0,"","","","","","","","","","","","","","","","","","","","","",""
"AWSHealthFullAccess","v2",True,"2019-12-22T14:25:03+00:00",1,1,"",3,0,0,1,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonHoneycodeWorkbookFullAccess","v1",True,"2020-06-24T20:28:46+00:00",0,1,"",0,0,0,1,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSSMAutomationRole","v1",False,"2016-12-05T22:09:55+00:00",1,2,"",1,3,0,52,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSSMAutomationRole","v2",False,"2017-02-23T22:17:33+00:00",1,2,"",1,3,0,54,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSSMAutomationRole","v5",True,"2017-07-24T23:29:12+00:00",1,3,"",1,3,0,57,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSSMAutomationRole","v4",False,"2017-06-06T00:00:24+00:00",1,3,"",1,3,0,57,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonSSMAutomationRole","v3",False,"2017-04-25T21:43:55+00:00",1,3,"",1,3,0,57,"","","","","","","","","","","","","","","","","","","","","",""
"AlexaForBusinessPolyDelegatedAccessPolicy","v1",True,"2019-10-16T19:48:45+00:00",0,1,"",0,0,0,4,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonCognitoDeveloperAuthenticatedIdentities","v1",True,"2015-03-24T17:22:23+00:00",0,1,"",2,0,1,2,"","","","","","","","","","","","","","","","","","","","","",""
"AWSDeepRacerCloudFormationAccessPolicy","v1",False,"2019-02-28T21:59:49+00:00",1,2,"",1,0,0,38,"","","","","","","","","","","","","","","","","","","","","",""
"AWSDeepRacerCloudFormationAccessPolicy","v2",True,"2019-06-14T17:02:04+00:00",1,2,"",1,0,0,40,"","","","","","","","","","","","","","","","","","","","","",""
"ApplicationDiscoveryServiceContinuousExportServiceRolePolicy","v1",False,"2018-08-09T20:22:01+00:00",0,3,"",0,0,0,6,"","","","","","","","","","","","","","","","","","","","","",""
"ApplicationDiscoveryServiceContinuousExportServiceRolePolicy","v2",True,"2018-08-13T22:31:21+00:00",0,3,"",0,0,0,6,"","","","","","","","","","","","","","","","","","","","","",""
"AmazonElasticFileSystemFullAccess","v6",True,"2020-07-16T16:46:23+00:00",0,3,"",3,0,0,17,"","","","","","","","","","","","","","","","","","","","","",""
